Company,Product,url,Home Loan Type,Rate,CodeID,Comparison Rate,Fixed Months,Revert Rate,Introductory Rate,Loan Type,Security Type,Availability,Repayment Options,Repayment Frequency,Interest Rate Notes,Min Loan Term,Max Loan to Value Ration (LVR),Max Loan Term,Max LVR with Mortgage Insurance,Min Loan Amount,Max Loan Amount,Extra Repayments,Loan is Transferable (Portable),Transfer Fee,Mortgage Offset Available,Mortgage Offset 100%,Mortgage Offset Rate,Redraw Available,Min Redraw Amount,Max Redraw Amount,Redraw Fee,Redraw Notice Period,Redraw Method,Redraw Notes & Comments,Application Fee,Legal Fee,Valuation Fee,Settlement Fee,Service Fee,Exit Fee,Early Termination Fee
Adelaide Bank,Variable SmartFit Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/variable-smartfit-interest-only-52403,VARIABLE,5.04,524030,5.20,0,0,0,Variable,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,Variable SmartFit Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/variable-smartfit-interest-only-52402,VARIABLE,4.54,524020,4.70,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,Variable SmartFit,https://www.infochoice.com.au/home-loans/adelaide-bank/variable-smartfit-40320,VARIABLE,4.79,403200,5.00,0,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,TRUE,FALSE,0%,TRUE,$500.00,$0,$0,,,,$375.00,$0,$0,$120.00,$15.00,$325.00,,
Adelaide Bank,Variable SmartFit,https://www.infochoice.com.au/home-loans/adelaide-bank/variable-smartfit-2478,VARIABLE,4.09,24780,4.31,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet Phone,,$375.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,SmartSaver interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52401,VARIABLE,4.99,524010,4.97,0,0,0,Basic,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400,FIXED,4.74%,524001,4.91%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$50000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400,FIXED,4.64%,524002,4.88%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$50000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400,FIXED,4.69%,524003,4.87%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$50000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400,FIXED,5.04%,524004,4.98%,4 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$50000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400,FIXED,5.09%,524005,5.01%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$50000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52397,VARIABLE,4.49,523970,4.47,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$375.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398,FIXED,4.44%,523981,4.43%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,,$325.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398,FIXED,4.35%,523982,4.42%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,,$325.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398,FIXED,4.48%,523983,4.45%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,,$325.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398,FIXED,4.74%,523984,4.54%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,,$325.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398,FIXED,4.79%,523985,4.59%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,,$325.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061,FIXED,4.27%,500611,4.87%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,,$375.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061,FIXED,4.45%,500612,4.85%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,,$375.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061,FIXED,4.58%,500613,4.85%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,,$375.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061,FIXED,4.70%,500614,4.86%,4 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,,$375.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061,FIXED,4.80%,500615,4.89%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,,$375.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059,FIXED,4.17%,500591,4.41%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,95%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,,$375.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059,FIXED,4.35%,500592,4.42%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,95%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,,$375.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059,FIXED,4.48%,500593,4.45%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,95%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,,$375.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059,FIXED,4.60%,500594,4.50%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,95%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,,$375.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059,FIXED,4.70%,500595,4.56%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,95%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,,$375.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartSaver,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-40324,VARIABLE,4.74,403240,4.78,0,0,0,Basic,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,,,$375.00,$0,$0,$120.00,$0,$325.00,,
Adelaide Bank,SmartSaver,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-20374,VARIABLE,4.04,203740,4.08,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,Same business day,Internet Phone,,$375.00,$0,$0,$120.00,$0,$0,,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52399,FIXED,4.74%,523991,5.17%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52399,FIXED,4.64%,523992,5.13%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52399,FIXED,4.69%,523993,5.11%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52399,FIXED,5.04%,523994,5.20%,4 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52399,FIXED,5.09%,523995,5.22%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52396,FIXED,4.44%,523961,4.70%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$375.00,$0,$0,$120.00,$15.00,$325.00,,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52396,FIXED,4.35%,523962,4.67%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$375.00,$0,$0,$120.00,$15.00,$325.00,,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52396,FIXED,4.48%,523963,4.69%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$375.00,$0,$0,$120.00,$15.00,$325.00,,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52396,FIXED,4.74%,523964,4.77%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$375.00,$0,$0,$120.00,$15.00,$325.00,,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52396,FIXED,4.79%,523965,4.80%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$10000.00,$5000000.00,FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$375.00,$0,$0,$120.00,$15.00,$325.00,,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-40315,FIXED,4.27%,403151,5.13%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,,,$375.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-40315,FIXED,4.45%,403152,5.10%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,,,$375.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-40315,FIXED,4.58%,403153,4.09%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,,,$375.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-40315,FIXED,4.70%,403154,5.10%,4 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,,,$375.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-40315,FIXED,4.80%,403155,5.12%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,,,$375.00,$0,$0,$120.00,$15.00,$0,,
Beyond Bank,Special Low Rate Variable Home Loan,https://www.infochoice.com.au/home-loans/beyond-bank/special-low-rate-variable-home-loan-52434,VARIABLE,3.73,524340,3.73,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,80%,$150000.00,$2000000.00,TRUE,FALSE,$0,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,,,$0,$0,$0,$200.00,$0,$0,,
Beyond Bank,Owner Occupied Total Home Loan Package Variable $50000+ New Money Special,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-total-home-loan-package-variable--new-money-special-37865,VARIABLE,3.99,378650,4.39,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,3,80%,30,90%,$500000.00,$2000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,Same business day,Internet,,$0,$0,$200.00,$150.00,$395.00,$0,,
Beyond Bank,Owner Occupied Home Loan Fixed,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-home-loan-fixed-2194,FIXED,4.64%,21941,5.19%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,90%,$10000.00,$2000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$0,$0,$10.00,,Internet,,$445.00,$0,$0,$150.00,$0,$0,,
Beyond Bank,Owner Occupied Home Loan Fixed,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-home-loan-fixed-2194,FIXED,4.74%,21942,5.15%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,90%,$10000.00,$2000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$0,$0,$10.00,,Internet,,$445.00,$0,$0,$150.00,$0,$0,,
Beyond Bank,Owner Occupied Home Loan Fixed,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-home-loan-fixed-2194,FIXED,4.84%,21943,5.14%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,90%,$10000.00,$2000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$0,$0,$10.00,,Internet,,$445.00,$0,$0,$150.00,$0,$0,,
Beyond Bank,Owner Occupied Home Loan Fixed,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-home-loan-fixed-2194,FIXED,5.09%,21944,5.20%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,90%,$10000.00,$2000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$0,$0,$10.00,,Internet,,$445.00,$0,$0,$150.00,$0,$0,,
Beyond Bank,Owner Occupied Home Loan Fixed,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-home-loan-fixed-2194,FIXED,5.09%,21945,5.19%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,90%,$10000.00,$2000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$0,$0,$10.00,,Internet,,$445.00,$0,$0,$150.00,$0,$0,,
Beyond Bank,Owner Occupied Home Loan,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-home-loan-1996,VARIABLE,5.20,19960,5.24,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,90%,$10000.00,$2000000.00,TRUE,TRUE,$0,TRUE,FALSE,0%,TRUE,$0,$0,$10.00,,,,$445.00,$0,$0,$150.00,$0,$0,,
Beyond Bank,Owner Occupied Basic Variable Home Loan,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-basic-variable-home-loan-2426,VARIABLE,4.50,24260,4.67,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,90%,$50000.00,$1000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$0,$50000.00,$0,Same business day,Internet,,$395.00,$0,$0,$150.00,$11.00,$0,No early termination fees,
Beyond Bank,Owner Occupied - Total Home Loan Package Variable $500000+ All In One Account,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-total-home-loan-package-variable--all-in-one-account-51765,VARIABLE,4.55,517650,,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,3,80%,30,90%,$50000.00,$2000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,Same business day,Internet,,$0,$0,$200.00,$150.00,$395.00,$0,,
Beyond Bank,Owner Occupied - Total Home Loan Package Variable $50000 - $299999 All In One,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-total-home-loan-package-variable---all-in-one-37864,VARIABLE,4.85,378640,,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,3,80%,30,90%,$50000.00,$2000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,Same business day,Internet,,$0,$0,$200.00,$150.00,$395.00,$0,,
Beyond Bank,Owner Occupied - Total Home Loan Package Variable $50000 - $299999,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-total-home-loan-package-variable---51770,VARIABLE,4.40,517700,4.79,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,3,80%,30,90%,$50000.00,$2000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,Same business day,Internet,,$0,$0,$200.00,$150.00,$395.00,$0,,
Beyond Bank,Owner Occupied - Total Home Loan Package Variable $50000 - $299999,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-total-home-loan-package-variable---51767,VARIABLE,4.70,517670,5.09,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,3,80%,30,90%,$50000.00,$2000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,Same business day,Internet,,$0,$0,$200.00,$150.00,$395.00,$0,,
Beyond Bank,Owner Occupied - Total Home Loan Package Variable $300000 - $499999 All In One Account,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-total-home-loan-package-variable---all-in-one-account-37863,VARIABLE,4.65,378630,,0,0,0,Variable,ResidentialProperty,Owner Occupiers Investors,Principal & Interest,Weekly Fortnightly Monthly,,3,80%,30,90%,$50000.00,$2000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,Same business day,Internet,,$0,$0,$200.00,$150.00,$395.00,$0,,
Beyond Bank,Owner Occupied - Total Home Loan Package Fixed,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-total-home-loan-package-fixed-37866,FIXED,4.34%,378661,5.05%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,3,80%,36,90%,$50000.00,$2000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,Same business day,Internet,,$0,$0,$200.00,$150.00,$395.00,$0,,
Beyond Bank,Owner Occupied - Total Home Loan Package Fixed,https://www.infochoice.com.au/home-loans/beyond-bank/owner-occupied-total-home-loan-package-fixed-37866,FIXED,4.44%,378662,5.04%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,3,80%,36,90%,$50000.00,$2000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,Same business day,Internet,,$0,$0,$200.00,$150.00,$395.00,$0,,
